Position,Likelihood,grid,minwin,maxwin,model,sites,chromosome
32350.0,0.0,111,10000,100000,ArabisNemo,163663,chr6
233127.7344,2.01928,111,10000,100000,ArabisNemo,163663,chr6
433905.4688,1.392272,111,10000,100000,ArabisNemo,163663,chr6
634683.1875,7.291062,111,10000,100000,ArabisNemo,163663,chr6
835460.9375,9.071635,111,10000,100000,ArabisNemo,163663,chr6
1036238.6875,1.973748,111,10000,100000,ArabisNemo,163663,chr6
1237016.375,4.732075,111,10000,100000,ArabisNemo,163663,chr6
1437794.125,37.459026,111,10000,100000,ArabisNemo,163663,chr6
1638571.875,4.438905,111,10000,100000,ArabisNemo,163663,chr6
1839349.625,3.164948,111,10000,100000,ArabisNemo,163663,chr6
2040127.375,3.4358,111,10000,100000,ArabisNemo,163663,chr6
2240905.0,2.458859,111,10000,100000,ArabisNemo,163663,chr6
2441682.75,10.053456,111,10000,100000,ArabisNemo,163663,chr6
2642460.5,1.850269,111,10000,100000,ArabisNemo,163663,chr6
2843238.25,13.189198,111,10000,100000,ArabisNemo,163663,chr6
3044016.0,1.98175,111,10000,100000,ArabisNemo,163663,chr6
3244793.75,14.430793,111,10000,100000,ArabisNemo,163663,chr6
3445571.5,1.296926,111,10000,100000,ArabisNemo,163663,chr6
3646349.25,1.639749,111,10000,100000,ArabisNemo,163663,chr6
3847127.0,5.965693,111,10000,100000,ArabisNemo,163663,chr6
4047904.75,1.542699,111,10000,100000,ArabisNemo,163663,chr6
4248682.5,1.511684,111,10000,100000,ArabisNemo,163663,chr6
4449460.0,2.536035,111,10000,100000,ArabisNemo,163663,chr6
4650237.5,8.353107,111,10000,100000,ArabisNemo,163663,chr6
4851015.0,9.356694,111,10000,100000,ArabisNemo,163663,chr6
5051792.5,3.198579,111,10000,100000,ArabisNemo,163663,chr6
5252570.0,13.433032,111,10000,100000,ArabisNemo,163663,chr6
5453347.5,1.089976,111,10000,100000,ArabisNemo,163663,chr6
5654125.0,7.963481,111,10000,100000,ArabisNemo,163663,chr6
5854902.5,2.706258,111,10000,100000,ArabisNemo,163663,chr6
6055680.0,2.173141,111,10000,100000,ArabisNemo,163663,chr6
6256457.5,1.17916,111,10000,100000,ArabisNemo,163663,chr6
6457235.0,1.234218,111,10000,100000,ArabisNemo,163663,chr6
6658012.5,1.500789,111,10000,100000,ArabisNemo,163663,chr6
6858790.0,156.674423,111,10000,100000,ArabisNemo,163663,chr6
7059567.5,2.774943,111,10000,100000,ArabisNemo,163663,chr6
7260345.0,1.865516,111,10000,100000,ArabisNemo,163663,chr6
7461122.5,1.329057,111,10000,100000,ArabisNemo,163663,chr6
7661900.0,1.369655,111,10000,100000,ArabisNemo,163663,chr6
7862677.5,17.783203,111,10000,100000,ArabisNemo,163663,chr6
8063455.0,1.788828,111,10000,100000,ArabisNemo,163663,chr6
8264232.5,1.023238,111,10000,100000,ArabisNemo,163663,chr6
8465010.0,1.187342,111,10000,100000,ArabisNemo,163663,chr6
8665788.0,28.948416,111,10000,100000,ArabisNemo,163663,chr6
8866566.0,5.522231,111,10000,100000,ArabisNemo,163663,chr6
9067344.0,2.193052,111,10000,100000,ArabisNemo,163663,chr6
9268122.0,2.730523,111,10000,100000,ArabisNemo,163663,chr6
9468900.0,2.0695,111,10000,100000,ArabisNemo,163663,chr6
9669678.0,3.717361,111,10000,100000,ArabisNemo,163663,chr6
