Position,Likelihood,grid,minwin,maxwin,model,sites,chromosome
2816.0,0.0,157,5000,50000,ArabisSagit,209663,chr1
203546.1094,2.235042,157,5000,50000,ArabisSagit,209663,chr1
404276.2188,2.81697,157,5000,50000,ArabisSagit,209663,chr1
605006.3125,1.687475,157,5000,50000,ArabisSagit,209663,chr1
805736.4375,9.952617,157,5000,50000,ArabisSagit,209663,chr1
1006466.5625,4.850013,157,5000,50000,ArabisSagit,209663,chr1
1207196.625,2.599927,157,5000,50000,ArabisSagit,209663,chr1
1407926.75,2.225406,157,5000,50000,ArabisSagit,209663,chr1
1608656.875,1.792233,157,5000,50000,ArabisSagit,209663,chr1
1809387.0,3.25794,157,5000,50000,ArabisSagit,209663,chr1
2010117.125,2.137721,157,5000,50000,ArabisSagit,209663,chr1
2210847.25,1.311466,157,5000,50000,ArabisSagit,209663,chr1
2411577.25,2.432416,157,5000,50000,ArabisSagit,209663,chr1
2612307.25,4.281101,157,5000,50000,ArabisSagit,209663,chr1
2813037.25,3.467976,157,5000,50000,ArabisSagit,209663,chr1
3013767.25,1.442484,157,5000,50000,ArabisSagit,209663,chr1
3214497.25,1.198951,157,5000,50000,ArabisSagit,209663,chr1
3415227.25,3.10338,157,5000,50000,ArabisSagit,209663,chr1
3615957.25,4.664015,157,5000,50000,ArabisSagit,209663,chr1
3816687.25,1.53425,157,5000,50000,ArabisSagit,209663,chr1
4017417.25,6.557487,157,5000,50000,ArabisSagit,209663,chr1
4218147.5,3.069717,157,5000,50000,ArabisSagit,209663,chr1
4418877.5,1.619981,157,5000,50000,ArabisSagit,209663,chr1
4619607.5,4.914738,157,5000,50000,ArabisSagit,209663,chr1
4820337.5,0.0,157,5000,50000,ArabisSagit,209663,chr1
5021067.5,1.424526,157,5000,50000,ArabisSagit,209663,chr1
5221797.5,5.169331,157,5000,50000,ArabisSagit,209663,chr1
5422527.5,5.422381,157,5000,50000,ArabisSagit,209663,chr1
5623257.5,2.043089,157,5000,50000,ArabisSagit,209663,chr1
5823987.5,1.310537,157,5000,50000,ArabisSagit,209663,chr1
6024717.5,3.661002,157,5000,50000,ArabisSagit,209663,chr1
6225447.5,1.20215,157,5000,50000,ArabisSagit,209663,chr1
6426177.5,1.441005,157,5000,50000,ArabisSagit,209663,chr1
6626907.5,18.040987,157,5000,50000,ArabisSagit,209663,chr1
6827637.5,2.944923,157,5000,50000,ArabisSagit,209663,chr1
7028367.5,1.988882,157,5000,50000,ArabisSagit,209663,chr1
7229097.5,3.042926,157,5000,50000,ArabisSagit,209663,chr1
7429827.5,1.733269,157,5000,50000,ArabisSagit,209663,chr1
7630557.5,6.346432,157,5000,50000,ArabisSagit,209663,chr1
7831287.5,7.364049,157,5000,50000,ArabisSagit,209663,chr1
8032017.5,15.842915,157,5000,50000,ArabisSagit,209663,chr1
8232747.5,2.411299,157,5000,50000,ArabisSagit,209663,chr1
8433478.0,3.040984,157,5000,50000,ArabisSagit,209663,chr1
8634208.0,1.355679,157,5000,50000,ArabisSagit,209663,chr1
8834938.0,1.574551,157,5000,50000,ArabisSagit,209663,chr1
9035668.0,8.449326,157,5000,50000,ArabisSagit,209663,chr1
9236398.0,3.825591,157,5000,50000,ArabisSagit,209663,chr1
9437128.0,1.298196,157,5000,50000,ArabisSagit,209663,chr1
9637858.0,1.608166,157,5000,50000,ArabisSagit,209663,chr1
9838588.0,2.040546,157,5000,50000,ArabisSagit,209663,chr1
10039318.0,1.617145,157,5000,50000,ArabisSagit,209663,chr1
10240048.0,1.628844,157,5000,50000,ArabisSagit,209663,chr1
10440778.0,2.524667,157,5000,50000,ArabisSagit,209663,chr1
10641508.0,1.383259,157,5000,50000,ArabisSagit,209663,chr1
10842238.0,5.842793,157,5000,50000,ArabisSagit,209663,chr1
11042968.0,1.663781,157,5000,50000,ArabisSagit,209663,chr1
11243698.0,3.04566,157,5000,50000,ArabisSagit,209663,chr1
11444428.0,2.819911,157,5000,50000,ArabisSagit,209663,chr1
11645158.0,4.278585,157,5000,50000,ArabisSagit,209663,chr1
11845888.0,7.47961,157,5000,50000,ArabisSagit,209663,chr1
12046618.0,3.162186,157,5000,50000,ArabisSagit,209663,chr1
12247348.0,3.869952,157,5000,50000,ArabisSagit,209663,chr1
12448078.0,1.476619,157,5000,50000,ArabisSagit,209663,chr1
12648808.0,1.862323,157,5000,50000,ArabisSagit,209663,chr1
12849538.0,4.390041,157,5000,50000,ArabisSagit,209663,chr1
13050268.0,2.949915,157,5000,50000,ArabisSagit,209663,chr1
13250998.0,2.884223,157,5000,50000,ArabisSagit,209663,chr1
13451728.0,3.053838,157,5000,50000,ArabisSagit,209663,chr1
13652458.0,2.986464,157,5000,50000,ArabisSagit,209663,chr1
13853188.0,0.0,157,5000,50000,ArabisSagit,209663,chr1
14053918.0,0.0,157,5000,50000,ArabisSagit,209663,chr1
14254648.0,45.423534,157,5000,50000,ArabisSagit,209663,chr1
14455378.0,65.959305,157,5000,50000,ArabisSagit,209663,chr1
14656108.0,11.034416,157,5000,50000,ArabisSagit,209663,chr1
14856838.0,0.0,157,5000,50000,ArabisSagit,209663,chr1
15057568.0,1.990736,157,5000,50000,ArabisSagit,209663,chr1
15258298.0,0.0,157,5000,50000,ArabisSagit,209663,chr1
15459028.0,10.794064,157,5000,50000,ArabisSagit,209663,chr1
15659758.0,3.200896,157,5000,50000,ArabisSagit,209663,chr1
15860488.0,3.790807,157,5000,50000,ArabisSagit,209663,chr1
16061218.0,83.879257,157,5000,50000,ArabisSagit,209663,chr1
