Position,Likelihood,grid,minwin,maxwin,model,sites,chromosome
35622.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
237011.6719,1.757639,134,10000,100000,ArabisSagit,175602,chr7
438401.3438,1.761488,134,10000,100000,ArabisSagit,175602,chr7
639791.0,8.840448,134,10000,100000,ArabisSagit,175602,chr7
841180.6875,3.230547,134,10000,100000,ArabisSagit,175602,chr7
1042570.375,1.523269,134,10000,100000,ArabisSagit,175602,chr7
1243960.0,4.305451,134,10000,100000,ArabisSagit,175602,chr7
1445349.625,3.328674,134,10000,100000,ArabisSagit,175602,chr7
1646739.25,2.680929,134,10000,100000,ArabisSagit,175602,chr7
1848128.875,3.648475,134,10000,100000,ArabisSagit,175602,chr7
2049518.5,15.554156,134,10000,100000,ArabisSagit,175602,chr7
2250908.25,4.667634,134,10000,100000,ArabisSagit,175602,chr7
2452298.0,2.079878,134,10000,100000,ArabisSagit,175602,chr7
2653687.75,6.574557,134,10000,100000,ArabisSagit,175602,chr7
2855077.5,4.530664,134,10000,100000,ArabisSagit,175602,chr7
3056467.25,2.289845,134,10000,100000,ArabisSagit,175602,chr7
3257857.0,1.637784,134,10000,100000,ArabisSagit,175602,chr7
3459246.75,1.739484,134,10000,100000,ArabisSagit,175602,chr7
3660636.5,1.511585,134,10000,100000,ArabisSagit,175602,chr7
3862026.25,5.632704,134,10000,100000,ArabisSagit,175602,chr7
4063416.0,2.276096,134,10000,100000,ArabisSagit,175602,chr7
4264805.5,1.775603,134,10000,100000,ArabisSagit,175602,chr7
4466195.0,1.655913,134,10000,100000,ArabisSagit,175602,chr7
4667584.5,1.10926,134,10000,100000,ArabisSagit,175602,chr7
4868974.0,1.954525,134,10000,100000,ArabisSagit,175602,chr7
5070363.5,3.494018,134,10000,100000,ArabisSagit,175602,chr7
5271753.0,1.454143,134,10000,100000,ArabisSagit,175602,chr7
5473142.5,1.489111,134,10000,100000,ArabisSagit,175602,chr7
5674532.0,2.91296,134,10000,100000,ArabisSagit,175602,chr7
5875921.5,9.599661,134,10000,100000,ArabisSagit,175602,chr7
6077311.0,2.204383,134,10000,100000,ArabisSagit,175602,chr7
6278700.5,4.565501,134,10000,100000,ArabisSagit,175602,chr7
6480090.0,7.971463,134,10000,100000,ArabisSagit,175602,chr7
6681479.5,6.80441,134,10000,100000,ArabisSagit,175602,chr7
6882869.0,1.688991,134,10000,100000,ArabisSagit,175602,chr7
7084258.5,2.27591,134,10000,100000,ArabisSagit,175602,chr7
7285648.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
7487037.5,0.0,134,10000,100000,ArabisSagit,175602,chr7
7688427.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
7889816.5,1.696743,134,10000,100000,ArabisSagit,175602,chr7
8091206.0,1.430029,134,10000,100000,ArabisSagit,175602,chr7
8292595.5,2.240641,134,10000,100000,ArabisSagit,175602,chr7
8493985.0,1.753331,134,10000,100000,ArabisSagit,175602,chr7
8695375.0,19.006798,134,10000,100000,ArabisSagit,175602,chr7
8896765.0,1.413676,134,10000,100000,ArabisSagit,175602,chr7
9098155.0,7.381867,134,10000,100000,ArabisSagit,175602,chr7
9299545.0,3.333796,134,10000,100000,ArabisSagit,175602,chr7
9500935.0,1.985775,134,10000,100000,ArabisSagit,175602,chr7
9702325.0,3.326035,134,10000,100000,ArabisSagit,175602,chr7
9903715.0,3.642061,134,10000,100000,ArabisSagit,175602,chr7
10105105.0,1.249408,134,10000,100000,ArabisSagit,175602,chr7
10306495.0,1.88931,134,10000,100000,ArabisSagit,175602,chr7
10507885.0,1.186102,134,10000,100000,ArabisSagit,175602,chr7
10709275.0,3.880444,134,10000,100000,ArabisSagit,175602,chr7
10910665.0,2.205407,134,10000,100000,ArabisSagit,175602,chr7
11112055.0,2.872512,134,10000,100000,ArabisSagit,175602,chr7
11313445.0,2.848883,134,10000,100000,ArabisSagit,175602,chr7
11514835.0,2.143199,134,10000,100000,ArabisSagit,175602,chr7
11716225.0,18.001083,134,10000,100000,ArabisSagit,175602,chr7
11917615.0,9.174945,134,10000,100000,ArabisSagit,175602,chr7
12119005.0,1.524436,134,10000,100000,ArabisSagit,175602,chr7
12320395.0,2.362099,134,10000,100000,ArabisSagit,175602,chr7
12521785.0,6.926653,134,10000,100000,ArabisSagit,175602,chr7
12723175.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
12924565.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
13125955.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
13327345.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
13528735.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
13730125.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
13931515.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
14132905.0,0.0,134,10000,100000,ArabisSagit,175602,chr7
14334295.0,2.882186,134,10000,100000,ArabisSagit,175602,chr7
14535685.0,13.321585,134,10000,100000,ArabisSagit,175602,chr7
14737075.0,1.089178,134,10000,100000,ArabisSagit,175602,chr7
14938465.0,1.137694,134,10000,100000,ArabisSagit,175602,chr7
15139855.0,3.441923,134,10000,100000,ArabisSagit,175602,chr7
15341245.0,13.182974,134,10000,100000,ArabisSagit,175602,chr7
15542635.0,2.454955,134,10000,100000,ArabisSagit,175602,chr7
15744025.0,2.65977,134,10000,100000,ArabisSagit,175602,chr7
15945415.0,7.486303,134,10000,100000,ArabisSagit,175602,chr7
16146805.0,8.4401,134,10000,100000,ArabisSagit,175602,chr7
16348195.0,5.592421,134,10000,100000,ArabisSagit,175602,chr7
16549585.0,22.097208,134,10000,100000,ArabisSagit,175602,chr7
16750975.0,3.378245,134,10000,100000,ArabisSagit,175602,chr7
16952364.0,4.040942,134,10000,100000,ArabisSagit,175602,chr7
17153754.0,1.427584,134,10000,100000,ArabisSagit,175602,chr7
17355144.0,1.816225,134,10000,100000,ArabisSagit,175602,chr7
17556534.0,2.472634,134,10000,100000,ArabisSagit,175602,chr7
17757924.0,1.994767,134,10000,100000,ArabisSagit,175602,chr7
17959314.0,1.738433,134,10000,100000,ArabisSagit,175602,chr7
18160704.0,17.516296,134,10000,100000,ArabisSagit,175602,chr7
18362094.0,4.125753,134,10000,100000,ArabisSagit,175602,chr7
18563484.0,26.62079,134,10000,100000,ArabisSagit,175602,chr7
18764874.0,3.134144,134,10000,100000,ArabisSagit,175602,chr7
18966264.0,8.528846,134,10000,100000,ArabisSagit,175602,chr7
19167654.0,4.390428,134,10000,100000,ArabisSagit,175602,chr7
19369044.0,14.954675,134,10000,100000,ArabisSagit,175602,chr7
19570434.0,2.062792,134,10000,100000,ArabisSagit,175602,chr7
19771824.0,2.571016,134,10000,100000,ArabisSagit,175602,chr7
19973214.0,3.917117,134,10000,100000,ArabisSagit,175602,chr7
20174604.0,1.816759,134,10000,100000,ArabisSagit,175602,chr7
20375994.0,2.00551,134,10000,100000,ArabisSagit,175602,chr7
20577384.0,29.085802,134,10000,100000,ArabisSagit,175602,chr7
20778774.0,5.348798,134,10000,100000,ArabisSagit,175602,chr7
20980164.0,20.956436,134,10000,100000,ArabisSagit,175602,chr7
21181554.0,7.143151,134,10000,100000,ArabisSagit,175602,chr7
21382944.0,5.110007,134,10000,100000,ArabisSagit,175602,chr7
21584334.0,1.073054,134,10000,100000,ArabisSagit,175602,chr7
21785724.0,10.134645,134,10000,100000,ArabisSagit,175602,chr7
21987114.0,9.221076,134,10000,100000,ArabisSagit,175602,chr7
22188504.0,33.116413,134,10000,100000,ArabisSagit,175602,chr7
22389894.0,2.706385,134,10000,100000,ArabisSagit,175602,chr7
22591284.0,2.586673,134,10000,100000,ArabisSagit,175602,chr7
22792674.0,1.709239,134,10000,100000,ArabisSagit,175602,chr7
22994064.0,11.587978,134,10000,100000,ArabisSagit,175602,chr7
23195454.0,2.280124,134,10000,100000,ArabisSagit,175602,chr7
23396844.0,2.199785,134,10000,100000,ArabisSagit,175602,chr7
23598234.0,2.777742,134,10000,100000,ArabisSagit,175602,chr7
23799624.0,1.905336,134,10000,100000,ArabisSagit,175602,chr7
24001014.0,2.185678,134,10000,100000,ArabisSagit,175602,chr7
24202404.0,1.18566,134,10000,100000,ArabisSagit,175602,chr7
24403794.0,1.739504,134,10000,100000,ArabisSagit,175602,chr7
